"Company_Name" "NAICS"
"BLUE SQUARE ISRAEL LTD" 445110
"BLYTH INDUSTRIES INC" 339999
"BON TON STORES INC" 452111
"BOOKS A MILLION INC" 451211
"BORDERS GROUP INC" 451211
"BORG WARNER AUTOMOTIVE INC" 336350
"BOSTON BEER INC" 312120
"BOSTON CHICKEN INC" 722211
"BOTTOMLINE TECHNOLOGIES DEL INC" 511210
"BOYD GAMING CORP" 721120
"BOYDS WHEELS INC" 336399
"BRADLEY PHARMACEUTICALS INC" 325412
"BREED TECHNOLOGIES INC" 336399
"BRIGHAM EXPLORATION CO" 211111
"BRITISH SKY BROADCASTING GR PLC" 515210
"BROADCOM CORP" 334413
"BROCADE COMMUNICATIONS SYS INC" 334119
"BROTHERS GOURMET COFFEES INC" 311920
"BUCA INC" 722110
"BUCKLE INC" 448140
"BUILDERS EXPRESS INC" 444110
"BUSINESS OBJECTS S A" 511210
"C H S ELECTRONICS INC" 421430
"C M G INFORMATION SERVICES INC" 518111
"C P S SYSTEMS INC" 541512
"C S G SYSTEMS INTERNATIONAL INC" 518210
"C T COMMUNICATIONS INC" 517110
"C V F CORP" 541990
"C V THERAPEUTICS INC" 325414
"CABOT OIL & GAS CORP" 211111
"CALDOR CORP" 452990
"CALICO COMMERCE INC" 511210
"CALLAWAY GOLF CO" 339920
"CALLON PETROLEUM CO DEL" 211111
"CALPINE CORP" 221119
"CAMBRIDGE HEART INC" 334510
"CAMECO CORP" 212291
"CAMPO ELECTRONICS APP & COMP INC" 443112
"CANADIAN NATIONAL RAILWAY CO" 482111
"CANTERBURY PARK HOLDING CORP" 713990
"CANWEST GLOBAL COMM CORP" 515120
"CAPITAL BEVERAGE CORP" 999990
"CAPITAL SENIOR LIVING CORP" 623312
"CARACO PHARMACEUTICAL LABS LTD" 325412
"CARAUSTAR INDUSTRIES INC" 322130
"CARBO CERAMICS INC" 212325
"CARDIODYNAMICS INTL CORP" 334510
"CAREER EDUCATION CORP" 611210
"CARRIAGE SERVICES INC" 812210
"CARRIER ACCESS CORP" 334418
"CARRIZO OIL & GAS INC" 211111
"CASTELLE" 334119
"CATALINA MARKETING CORP" 541890
"CATAPULT COMMUNICATIONS CORP" 334519
"CELADON GROUP INC" 484121
"CELESTICA INC" 334413
"CELL GENESYS INC" 325414
"CELLEGY PHARMACEUTICALS INC" 325412
"CELLNET DATA SYSTEMS INC" 561499
"CELLULAR TELEPHONE ENTERPRS INC" 513322
"CEMEX S A DE C V" 327310
"CENTRAL EUROPEAN DISTRIBUTN CORP" 424820
"CENTURY ALUMINUM CO" 331315
"CERION TECHNOLOGIES INC" 334613
"CERUS CORPORATION" 325414
"CHAMPION INDUSTRIES INC" 32311
"CHARLOTTE RUSSE HOLDING INC" 448120
"CHARTER COMMUNICATIONS INC" 517510
"CHARTERED SEMICONDUCTOR MFG LTD" 334413
"CHASE CORP" 335932
"CHECK POINT SOFTWARE TECHS LTD" 511210
"CHEESECAKE FACTORY INC" 722110
"CHEMTRAK INC" 325413
"CHESAPEAKE ENERGY CORP" 211111
"CHINA EASTERN AIRLINES CORP LTD" 481111
"CHOICEPOINT INC" 524298
"CHOLESTECH CORP" 334510
"CHROMCRAFT REVINGTON INC" 337122
"CHURCHILL DOWNS INC" 711212
"CIAO CUCINA CORP" 722110
"CIBER INC" 541519
"CISCO SYSTEMS INC" 334119
"CITY TELECOM LTD" 517110
"CLAIMSNET COM INC" 524291
"CLAYTON WILLIAMS ENERGY INC" 211111
"COBRA INDUSTRIES INC" 336214
"COCA COLA FEMSA S A DE C V" 312111
"CODED COMMUNICATIONS CORP" 334220
"COGNIZANT TECHNOLOGY SOLS CORP" 541512
"COHESANT TECHNOLOGIES INC" 333912
"COINSTAR INC" 333313
"COLDWATER CREEK INC" 448190
"COLE KENNETH PRODUCTIONS INC" 3162
"COLLAGENEX PHARMACEUTICALS INC" 325412
"COLLEGE BOUND INC" 611699
"COLUMBIA SPORTSWEAR COMPANY" 315299
"COMFORT SYSTEMS USA INC" 238220
"COMMERCE ONE INC" 511210
"COMMONWEALTH BIOTECHNOLOGIES INC" 541710
"COMMSCOPE INC" 335921
"COMMUNICATION INTELLIGENCE CORP" 334119
"COMPANHIA SIDERURGICA NACIONAL" 331111
"COMPLETE WELLNESS CENTERS INC" 621111
"COMPUTER LEARNING CENTERS INC" 611420
"COMPUWARE CORP" 511210
"COMPX INTERNATIONAL INC" 332510
"CONCEPTUS INC" 339112
"CONCORD ENERGY INC" 234
"CONCORDIA PAPER HOLDINGS LTD" 322130
"CONCUR TECHNOLOGIES INC" 511210
"CONDOR TECHNOLOGY SOLUTIONS INC" 541512
"CONE MILLS CORP NC" 313210
"CONEXANT SYSTEMS INC" 334413
"CONGOLEUM CORP NEW" 326199
"CONSOL ENERGY INC" 212112
"CONSOLIDATED GRAPHICS INC" 32311
"CONSOLIDATED STAINLESS INC" 331111
"CONTINENTAL AIRLINES INC" 481111
"CONVERGYS CORP" 561499
"CONVERSION TECHNOLOGIES INTL INC" 327215
"COPART INC" 425120
"CORE LABORATORIES NV" 213112
"CORE MATERIALS CORP" 326199
"CORINTHIAN COLLEGES INC" 611310
"CORN PRODUCTS INTERNATIONAL INC" 311221
"CORNELL CORRECTIONS INC" 623990
"CORPORATE EXECUTIVE BOARD CO" 541611
"COSMETIC CENTER INC" 446120
"COST PLUS INC CALIF" 442299
"COST U LESS INC" 452990
"COSTILLA ENERGY INC" 211111
"COTT CORP QUEBEC" 312111
"COVAD COMMUNICATIONS GROUP INC" 517110
"COVANCE INC" 541710
"COVENANT TRANSPORT INC" 484121
"COX RADIO INC" 515112
"CRAFTMADE INTERNATIONAL INC" 335121
"CREATIVE PROGR & TECH VENT INC" 339932
"CREATIVE TECHNOLOGY LTD" 334119
"CREDENCE SYSTEMS CORP" 334515
"CREE RESEARCH INC" 334413
"CROWN CASTLE INTERNATIONAL CORP" 532490
"CROWN PACIFIC PARTNERS L P" 321113
"CRYOLIFE INC" 339113
"CRYSTALLEX INTERNATIONAL CORP" 212221
"CUBIST PHARMACEUTICALS INC" 325412
"CUMULUS MEDIA INC" 515112
"CURAGEN CORP" 325414
"CYBERSOURCE CORP" 518210
"CYMER INC" 333295
"CYTEC INDUSTRIES INC" 325998
"CYTYC CORP" 334516
"D & E COMMUNICATIONS INC" 517110
"D A G MEDIA INC" 511140
"D S P GROUP INC" 334220
"D S T SYSTEMS INC DEL" 518210
"DARLING INTERNATIONAL INC" 311613
"DASSAULT SYSTEMES INC" 511210
"DATALINK CORP" 541512
"DECKERS OUTDOOR CORP" 316999
"DELPHI AUTOMOTIVE SYSTEMS CORP" 336322
"DELTA & PINE LAND CO" 111920
"DELTA GALIL INDUSTRIES INC" 315231
"DELTATHREE COM INC" 517110
"DELTIC TIMBER CORP" 321912
"DEPOMED INC" 325412
"DESCARTES SYSTEMS GROUP INC" 511210
"DEVLIEG BULLARD INC" 333515
"DEVON ENERGY CORP NEW" 211111
"DEVRY INC DEL" 611310
"DIAGNOSTIC HEALTH SERVICES INC" 621512
"DIAMOND OFFSHORE DRILLING INC" 213111
"DIASYS CORP" 334516
"DIGENE CORP" 325413
"DIGIMARC CORP" 511210
"DIGITAL LAVA INC" 511210
"DIGITAL LIGHTWAVE INC" 334290
"DIGITAL POWER CORP" 334419
"DIGITAL RECORDERS INC" 334220
"DIGITAL RIVER INC" 423430
"DIGITAL TRANSMISSION SYSTEMS INC" 334210
"DISCOVERY ZONE INC" 713990
"DOCUMENT SCIENCES CORP" 511210
"DOLLAR TREE STORES INC" 452990
"DOREL INDUSTRIES INC" 337122
"DRIL QUIP INC" 336611
"DRUGSTORE COM INC" 454111
"DRYCLEAN USA INC" 423850
"DUCATI MOTOR HOLDING S P A" 336991
"DYNAMEX INC" 492110
"DYNASTY CLASSICS CORP" 335121
"E N I SPA" 324110
"E P MEDSYSTEMS INC" 334510
"E S S TECHNOLOGY INC" 334413
"E X X INC" 335312
"EAGLE GEOPHYSICAL INC" 541360
"EASTMAN CHEMICAL CO" 325211
"ECHELON CORP" 334119
"ECHOSTAR COMMUNICATIONS CORP NEW" 517510
"ECLIPSYS CORP" 541512
"ECOLLEGE COM INC" 541511
"EDAP T M S S A" 334510
"EDGAR ONLINE INC" 518111
"EDGE PETROLEUM CORP DEL" 211111
"EL PASO ELECTRIC CO" 22111
"ELECTRONIC DATA SYS CORP NEW" 541513
"ELEK TEK INC" 443120
"ELTEK LTD" 334412
"EMCOR GROUP INC" 238210
"EMCORE CORP" 333295
"EMERITUS CORP" 623312
"EMMIS BROADCASTING CORP" 515112
"EMPRESA NACIONAL DE ELECT CHILE" 2211
"ENAMELON INC" 325611
"ENCORE WIRE CORP" 331421
"ENDOCARE INC" 339112
"ENERSIS S A" 2211
"ENTERCOM COMMUNICATIONS CORP" 515112
"ENTERPRISE PRODUCTS PARTNERS LP" 486210
"ENTREMED INC" 325412
"ENTRUST TECHNOLOGIES INC" 511210
"ERNST HOME CENTER INC" 444130
"ESQUIRE COMMUNICATIONS LTD" 561492
"ETHAN ALLEN INTERIORS INC" 337122
"EURONET SERVICES INC" 522320
"EVOLVING SYSTEMS INC" 541511
"EXACTECH INC" 339113
"EXCEL TECHNOLOGY INC" 335999
"EXCELSIOR HENDERSON MTRCYCL MFG" 336991
"EXPRESS SCRIPTS INC" 524298
"EZCORP INC" 522298
"F & C INTERNATIONAL INC" 325188
"F & M DISTRIBUTORS INC" 452990
"F 5 NETWORKS INC" 541512
"F E I COMPANY" 334516
"F P A MEDICAL MANAGEMENT INC" 621111
"FACTSET RESEARCH SYSTEMS INC" 518111
"FAMOUS DAVES OF AMERICA" 722110
"FARO TECHNOLOGIES INC" 334519
"FEDERATED INVESTORS INC PA" 523930
"FILENES BASEMENT CORP" 448140
"FINE HOST CORP" 722310
"FINISH LINE INC" 448210
"FINLAY ENTERPRISES INC" 448310
"FIRST AVIATION SERVICE INC" 423860
"FIRST CASH INC" 522298
"FIRST CONSULTING GROUP INC" 541512
"FIRST PACIFIC NETWORKS INC" 334210
"FIRSTSERVICE CORP" 531390
"FLAMEL TECHNOLOGIES SA" 325412
"FLANDERS CORP" 333411
"FLEXTRONICS INTERNATIONAL LTD" 334412
"FLIR SYSTEMS INC" 334511
"FLORIDA WEST AIRLINES INC" 4812
"FOCUS ENHANCEMENTS INC" 334119
"FORMULAB NEURONETICS CORP LTD" 541330
"FORRESTER RESEARCH INC" 541910
"FRANCE TELECOM" 517110
"FRANKLIN OPHTHALMIC INSTRMTS INC" 421460
"FREDS INC" 452990
"FREEPORT MCMORAN COPPER & GOLD" 212234
"FRESH DEL MONTE PRODUCE INC" 111339
"FRIENDLY ICE CREAM CORP" 722110
"FUEL TECH N V" 333999
"FULL HOUSE RESORTS INC" 713210
"G S E SYSTEMS INC" 511210
"G WILLI FOOD INTL LTD" 424490
"GADZOOKS INC" 448140
"GAIAM INC" 454113
"GALAGEN INC" 325414
"GAMETECH INTERNATIONAL INC" 339932
"GAMETEK INC" 511210
"GARDNER DENVER MACHINERY INC" 333912
"GARTNER GROUP INC NEW" 541910
"GATEWAY DATA SCIENCES CORP" 541512
"GAYLORD COMPANIES INC" 451211
"GAYLORD ENTERTAINMENT CO NEW" 721110
"GENE LOGIC INC" 325413
"GENENTECH INC" 325412
"GENERAL BEARING CORP" 332991
"GENERAL CABLE CORP DEL NEW" 331421
"GENERAL MAGIC INC" 511210
"GENESEE & WYOMING INC" 482111
"GENESIS ENERGY L P" 424720
"GERON CORP" 325414
"GILDAN ACTIVEWEAR INC" 315299
"GILEAD SCIENCES INC" 325414
"GILMAN & CIOCIA INC" 523120
"GLACIER WATER SERVICES INC" 454210
"GLOBAL INDUSTRIES LTD" 213112
"GLOBAL MED TECHNOLOGIES INC" 511210
"GLOBECOMM SYSTEMS INC" 334220
"GOLDEN STAR RESOURCES LTD" 212221
"GOLDEN TELECOM INC" 517110
"GOLF TRAINING SYSTEMS INC" 339920
"GOTHAM APPAREL CORP" 31523
"GRACE W R & CO DEL NEW" 325998
"GRANITE CONSTRUCTION INC" 237310
"GRAPHON CORP" 511210
"GREAT TRAIN STORE CO" 451120
"GREEN MOUNTAIN COFFEE INC" 311920
"GREIF BROTHERS CORP" 322214
"GRIFFIN LAND AND NURSERIES INC" 111421
"GROUP 1 AUTOMOTIVE INC" 441110
"GROUPE C G I INC" 541513
"GROUPE DANONE" 311
"GRUPO CASA AUTREY SA DE CV" 424210
"GUESS INC" 31523
"GUITAR CENTER INC" 451140
"GULF ISLAND FABRICATION INC" 333132
"GULFMARK OFFSHORE INC" 483111
"GYMBOREE CORP" 3152
"HAEMONETICS CORP MASS" 339112
"HAMBURGER HAMLET RESTAURANTS INC" 722110
"HANOVER COMPRESSOR CO" 532490
"HAPPINESS EXPRESS INC" 339932
"HARDINGE INC" 333512
"HARMONIC LIGHTWAVES INC" 334220
"HARMONY GOLD MINING CO LTD" 212221
"HARRIS INTERACTIVE INC" 518111
"HARTE HANKS COMMS INC NEW" 541860
"HAUPPAGUE DIGITAL INC" 334119
"HAWK CORP" 336340
"HAYES CORP" 334210
"HEALTH FITNESS PHYSIC THERAPY IN" 713940
"HEALTH MANAGEMENT ASSOCIATES INC" 622110
"HEALTH RISK MANAGEMENT INC" 524298
"HEALTHCOR HOLDINGS INC" 532291
"HEALTHEXTRAS INC" 524210
"HEALTHTEK INC" 339112
"HEALTHTRONICS INC" 621498
"HEARST ARGYLE TELEVISION INC" 515120
"HEIDRICK & STRUGGLES INTL INC" 561310
"HEMAGEN DIAGNOSTICS INC" 325413
"HEMISPHERX BIOPHARMA INC" 325414
"HENLEY HEALTHCARE INC" 334510
"HESKA CORP" 325413
"HI FN INC" 334413
"HICKORY TECH CORP" 517110
"HIRSCH INTERNATIONAL CORP" 423830
"HOLOGIC INC" 334517
"HOST AMERICA CORP" 311991
"HOT TOPIC INC" 448150
"HOUSTON EXPLORATION CO" 211111
"HUANENG POWER INTERNATIONAL INC" 2211
"HUB GROUP INC" 488510
"HUDSON TECHNOLOGIES INC" 562211
"HUMAN GENOME SCIENCES INC" 325413
"HUNGARIAN TELEPHONE & CABLE CORP" 517910
"HUTTIG BUILDING PRODUCTS INC" 423310
"HYPERCOM CORP" 334119
"HYPERTENSION DIAGNOSTICS INC" 334510
"I C ISAACS AND CO INC" 315224
"I C T GROUP INC" 561422
"I C U MEDICAL INC" 339112
"I D E X X LABORATORIES INC" 325412
"I D SYSTEMS INC" 334511
"I E C ELECTRONICS CORP NEW" 334412
"I H O P CORP" 533110
"I P I INC" 533110
"I R G TECHS INC" 421430
"I T T EDUCATIONAL SERVICES INC" 611210
"IBIS TECHNOLOGY CORP" 333295
"ICON PLC" 541710
"IMAGE SENSING SYSTEMS INC" 533110
"IMATION CORP" 334613
"IMCLONE SYSTEMS INC" 325414
"IMMERSION CORP" 334119
"IMPERIAL TOBACCO GROUP PLC" 312221
"IMPLANT SCIENCES CORP" 333295
"IN STORE ADVERTISING INC" 541890
"INCYTE PHARMACEUTICALS INC" 518111
"INDUSTRIAL DISTRIBUTION GRP INC" 423830
"INDUSTRIAL SERVICES OF AM INC" 541611
"INFORMATICA CORP" 511210
"INFORMATION ANALYSIS INC" 541511
"INFORMATION MANAGEMENT ASSC INC" 511210
"INGRAM MICRO INC" 423430
"INNOTRAC CORP" 518210
"INSIGNIA SYSTEMS INC" 424120
"INSITE VISION INC" 325412
"INTEGRAL SYSTEMS INC" 541512
"INTEGRATED MEDICAL RESOURCES INC" 621399
"INTEGRATED SECURITY SYSTEMS INC" 334290
"INTELLI CHECK INC" 334119
"INTELLIGENT MEDICAL IMAGING INC" 334516
"INTELLIGROUP INC" 541512
"INTERACTIVE INTELLIGENCE INC" 511210
"INTEREP NATIONAL RADIO SALES INC" 541840
"INTERNATIONAL ISOTOPES INC" 325413
"INTERNATIONAL SPEEDWAY CORP" 711212
"INTERNET AMERICA INC" 518111
"INTERNET INITIATIVE JAPAN INC" 518111
"INTERTAPE POLYMER GROUP INC" 322222
"INTEST CORP" 334416
"INTEVAC INC" 333298
"INTUIT INC" 511210
"INVITROGEN CORP" 325414
"IOMED INC" 334510
"IONA TECHNOLOGIES PLC" 511210
"IPSCO INC" 331111
"IRIDEX CORP" 334510
"ISIS PHARMACEUTICALS INC" 325412
"ITALIAN OVEN INC" 722110
"ITEX CORP" 561499
"ITRON INC" 334220
"J D A SOFTWARE GROUP INC" 511210
"JABIL CIRCUIT INC" 334412
"JACADA LTD" 511210
"JAKKS PACIFIC INC" 339931
"JEWETT CAMERON TRADING LTD" 423310
"JINPAN INTERNATIONAL LTD" 335311
"JONES APPAREL GROUP INC" 315212
"JOS A BANK CLOTHIERS INC" 315222
"JOURNAL REGISTER CO" 511110
"JUNIPER NETWORKS INC" 334119
"JUST FOR FEET INC" 448210
"K SWISS INC" 316219
"K V H INDUSTRIES INC" 334511
"KEMET CORP" 334414
"KENDALL SQUARE RESEARCH CORP" 334111
"KENDLE INTERNATIONAL INC" 541710
"KENSEY NASH CORP" 339113
"KEY TECHNOLOGY INC" 333294
"KEYNOTE SYSTEMS INC" 541511
"KEYSTONE AUTOMOTIVE INDS INC" 423120
"KING PHARMACEUTICALS INC" 325412
"KMG B INC" 325110
"KNIGHT TRANSPORTATION INC" 484121
"KNOT INC" 518111
"KOHLS CORP" 452111
"KORN FERRY INTERNATIONAL" 561310
"KRONOS INC" 511210
"L 3 COMMUNICATIONS HLDGS INC" 334220
"L C C INTERNATIONAL INC" 541330
"L M I AEROSPACE INC" 336413
"LABOR READY INC" 561320
"LACROSSE FOOTWEAR INC" 316211
"LADISH INC" 336412
"LAKES GAMING INC" 713210
"LAMAR ADVERTISING CO" 541850
"LANDSTAR SYSTEM INC" 484121
"LANOPTICS LTD" 334119
"LASER STORM INC" 339932
"LAUDER ESTEE COS INC" 325620
"LAYNE INC" 541620
"LECROY CORP" 334515
"LENNOX INTERNATIONAL INC" 333415
"LETS TALK CELLULAR AND WIRLS INC" 443112
"LEVEL 3 COMMUNICATIONS INC" 541512
"LEXMARK INTERNATIONAL GROUP INC" 334119
"LIBBEY INC" 327212
"LIFECELL CORP" 339113
"LIFEPOINT HOSPITALS INC" 622110
"LIHIR GOLD LTD" 212221
"LINCARE HOLDINGS INC" 621999
"LIONBRIDGE TECHNOLOGIES" 511210
"LIQUIDATION WORLD INC" 452990
"LITHIA MOTORS INC" 441110
"LITTELFUSE INC" 335313
"LODGENET ENTERTAINMENT CORP" 517410
"LUFKIN INDUSTRIES INC" 333132
"LUXOTTICA GROUP S P A" 339115
"M E M C ELECTRONIC MATERIALS INC" 334413
"M E R TELEMANAGEMENT SOLTNS LTD" 334210
"M K S INSTRUMENTS INC" 334513
"M R S TECHNOLOGY INC" 333298
"M R V COMMUNICATIONS INC" 334119
"M S C INDUSTRIAL DIRECT INC" 423830
"MAC GRAY CORP" 812310
"MACROVISION CORPORATION" 533110
"MADDEN STEVEN LTD" 316214
"MANHATTAN ASSOCIATES INC" 541512
"MANNATECH INC" 325412
"MARINE MANAGEMENT SYSTEMS INC" 541512
"MARINEMAX INC" 441222
"MARKWEST HYDROCARBON INC" 211111
"MARRIOTT INTERNATIONAL INC NEW" 721110
"MARTEK BIOSCIENCES CORP" 325411
"MARTHA STEWART LVNG OMNIMEDIA IN" 511120
"MARTIN COLOR FI INC" 325222
"MARTIN INDUSTRIES INC" 333414
"MARTIN MARIETTA MATERIALS INC" 212313
"MATRITECH INC" 325413
"MATTHEWS INTERNATIONAL CORP" 331522
"MATTSON TECHNOLOGY INC" 333295
"MAXIMUS INC" 561110
"MAXYGEN INC" 541710
"MEADOW VALLEY CORP" 237310
"MEDAREX INC" 325414
"MEDIALINK WORLDWIDE INC" 519110
"MEDICALOGIC INC" 999990
"MEDIMMUNE INC" 325414
"MEDIWARE INFORMATION SYS INC" 541512
"MEDWAVE INC" 339112
"MEGAFOODS STORES INC" 452910
"MENLEY & JAMES INC" 325412
"MENS WEARHOUSE INC" 448110
"MERCURY COMPUTER SYSTEMS" 541512
"MERGE TECHNOLOGIES INC" 541512
"MERIT MEDICAL SYSTEMS INC" 339112
"METALINK LTD" 334413
"METALLICA RESOURCES INC" 212221
"METATEC CORP" 334612
"METHANEX CORP" 325110
"METROPOLITAN HEALTH NETWORKS INC" 621111
"METROTRANS CORP" 336211
"METTLER TOLEDO INTERNATIONAL INC" 334516
"MICREL INC" 334413
"MICRO COMPONENT TECH INC" 334515
"MICROCHIP TECHNOLOGY INC" 334413
"MICROFIELD GRAPHICS INC" 335932
"MICROLEAGUE MULTIMEDIA INC" 511210
"MICROVISION INC WA" 541710
"MID AMERICAN WASTE SYSTEMS INC" 562111
"MIDAS INC" 811112
"MIDCOM COMMUNICATIONS INC" 513310
"MIDWEST EXPRESS HOLDINGS INC" 481111
"MILLENNIUM PHARMACEUTICALS INC" 325413
"MINERALS TECHNOLOGIES INC" 325188
"MIRAMAR MINING CORP" 212221
"MITCHAM INDUSTRIES INC" 532490
"MOBILEMEDIA CORP" 513321
"MOBIUS MANAGEMENT SYSTEMS INC" 511210
"MODATECH SYSTEMS INC" 511210
"MODEL IMPERIAL INC" 422210
"MOHAWK INDUSTRIES INC" 314110
"MONACO COACH CORP" 336112
"MONARCH CASINO & RESORT INC" 721120
"MONOCLONAL MEDICAL INC" 325412
"MONTEREY PASTA CO" 311823
"MOTHERS WORK INC" 448120
"MOVIE GALLERY INC" 532230
"MUELLER INDUSTRIES INC" 331421
"MULTIMEDIA GAMES INC" 713290
"MUSE TECHNOLOGIES INC" 511210
"MYRIAD GENETICS INC" 325413
"N C I BUILDING SYSTEMS INC" 332311
"N C R CORP NEW" 334119
"N D S GROUP PLC" 334220
"N P S PHARMACEUTICALS INC" 325414
"N T N COMMUNICATIONS INC" 515120
"N U C O 2 INC" 424690
"NANOGEN INC" 541710
"NANOPHASE TECHNOLOGIES CORP" 327125
"NASTECH PHARMACEUTICAL INC" 325412
"NATIONAL DATACOMPUTER INC" 334111
"NATIONAL DENTEX CORP" 339116
