"Company_Name" "DNUM"
"CELLEGY PHARMACEUTICALS INC" 2834
"CELLNET DATA SYSTEMS INC" 7389
"CELLULAR TELEPHONE ENTERPRS INC" 4812
"CEMEX S A DE C V" 3241
"CENTRAL EUROPEAN DISTRIBUTN CORP" 5180
"CENTURY ALUMINUM CO" 3350
"CERION TECHNOLOGIES INC" 3695
"CERUS CORPORATION" 2836
"CHAMPION INDUSTRIES INC" 2750
"CHARLOTTE RUSSE HOLDING INC" 5621
"CHARTER COMMUNICATIONS INC" 4841
"CHARTERED SEMICONDUCTOR MFG LTD" 3674
"CHASE CORP" 3640
"CHECK POINT SOFTWARE TECHS LTD" 7372
"CHEESECAKE FACTORY INC" 5812
"CHEMTRAK INC" 2835
"CHESAPEAKE ENERGY CORP" 1311
"CHINA EASTERN AIRLINES CORP LTD" 4512
"CHOICEPOINT INC" 6411
"CHOLESTECH CORP" 3845
"CHROMCRAFT REVINGTON INC" 2511
"CHURCHILL DOWNS INC" 7948
"CIAO CUCINA CORP" 5812
"CIBER INC" 7370
"CISCO SYSTEMS INC" 3576
"CITY TELECOM LTD" 4813
"CLAIMSNET COM INC" 6411
"CLAYTON WILLIAMS ENERGY INC" 1311
"COBRA INDUSTRIES INC" 3790
"COCA COLA FEMSA S A DE C V" 2086
"CODED COMMUNICATIONS CORP" 3663
"COGNIZANT TECHNOLOGY SOLS CORP" 7370
"COHESANT TECHNOLOGIES INC" 3560
"COINSTAR INC" 3578
"COLDWATER CREEK INC" 5600
"COLE KENNETH PRODUCTIONS INC" 3140
"COLLAGENEX PHARMACEUTICALS INC" 2834
"COLLEGE BOUND INC" 8200
"COLUMBIA SPORTSWEAR COMPANY" 2300
"COMFORT SYSTEMS USA INC" 1700
"COMMERCE ONE INC" 7372
"COMMONWEALTH BIOTECHNOLOGIES INC" 8731
"COMMSCOPE INC" 3357
"COMMUNICATION INTELLIGENCE CORP" 3577
"COMPANHIA SIDERURGICA NACIONAL" 3312
"COMPLETE WELLNESS CENTERS INC" 8011
"COMPUTER LEARNING CENTERS INC" 8200
"COMPUWARE CORP" 7372
"COMPX INTERNATIONAL INC" 3420
"CONCEPTUS INC" 3841
"CONCORD ENERGY INC" 1600
"CONCORDIA PAPER HOLDINGS LTD" 2631
"CONCUR TECHNOLOGIES INC" 7372
"CONDOR TECHNOLOGY SOLUTIONS INC" 7373
"CONE MILLS CORP NC" 2211
"CONEXANT SYSTEMS INC" 3674
"CONGOLEUM CORP NEW" 3089
"CONSOL ENERGY INC" 1220
"CONSOLIDATED GRAPHICS INC" 2750
"CONSOLIDATED STAINLESS INC" 3312
"CONTINENTAL AIRLINES INC" 4512
"CONVERGYS CORP" 7389
"CONVERSION TECHNOLOGIES INTL INC" 3231
"COPART INC" 5010
"CORE LABORATORIES NV" 1389
"CORE MATERIALS CORP" 3089
"CORINTHIAN COLLEGES INC" 8200
"CORN PRODUCTS INTERNATIONAL INC" 2040
"CORNELL CORRECTIONS INC" 8300
"CORPORATE EXECUTIVE BOARD CO" 8742
"COSMETIC CENTER INC" 5990
"COST PLUS INC CALIF" 5700
"COST U LESS INC" 5331
"COSTILLA ENERGY INC" 1311
"COTT CORP QUEBEC" 2086
"COVAD COMMUNICATIONS GROUP INC" 4813
"COVANCE INC" 8731
"COVENANT TRANSPORT INC" 4213
"COX RADIO INC" 4832
"CRAFTMADE INTERNATIONAL INC" 3640
"CREATIVE PROGR & TECH VENT INC" 3944
"CREATIVE TECHNOLOGY LTD" 3577
"CREDENCE SYSTEMS CORP" 3825
"CREE RESEARCH INC" 3674
"CROWN CASTLE INTERNATIONAL CORP" 7359
"CROWN PACIFIC PARTNERS L P" 2421
"CRYOLIFE INC" 3842
"CRYSTALLEX INTERNATIONAL CORP" 1040
"CUBIST PHARMACEUTICALS INC" 2834
"CUMULUS MEDIA INC" 4832
"CURAGEN CORP" 2836
"CYBERSOURCE CORP" 7374
"CYMER INC" 3559
"CYTEC INDUSTRIES INC" 2890
"CYTYC CORP" 3826
"D & E COMMUNICATIONS INC" 4813
"D A G MEDIA INC" 2741
"D S P GROUP INC" 3663
"D S T SYSTEMS INC DEL" 7374
"DARLING INTERNATIONAL INC" 2070
"DASSAULT SYSTEMES INC" 7372
"DATALINK CORP" 7373
"DECKERS OUTDOOR CORP" 3100
"DELPHI AUTOMOTIVE SYSTEMS CORP" 3714
"DELTA & PINE LAND CO" 100
"DELTA GALIL INDUSTRIES INC" 2340
"DELTATHREE COM INC" 4813
"DELTIC TIMBER CORP" 2421
"DEPOMED INC" 2834
"DESCARTES SYSTEMS GROUP INC" 7372
"DEVLIEG BULLARD INC" 3540
"DEVON ENERGY CORP NEW" 1311
"DEVRY INC DEL" 8200
"DIAGNOSTIC HEALTH SERVICES INC" 8071
"DIAMOND OFFSHORE DRILLING INC" 1381
"DIASYS CORP" 3826
"DIGENE CORP" 2835
"DIGIMARC CORP" 7372
"DIGITAL LAVA INC" 7372
"DIGITAL LIGHTWAVE INC" 3669
"DIGITAL POWER CORP" 3679
"DIGITAL RECORDERS INC" 3663
"DIGITAL RIVER INC" 5045
"DIGITAL TRANSMISSION SYSTEMS INC" 3661
"DISCOVERY ZONE INC" 7990
"DOCUMENT SCIENCES CORP" 7372
"DOLLAR TREE STORES INC" 5331
"DOREL INDUSTRIES INC" 2511
"DRIL QUIP INC" 3730
"DRUGSTORE COM INC" 5961
"DRYCLEAN USA INC" 5080
"DUCATI MOTOR HOLDING S P A" 3751
"DYNAMEX INC" 4210
"DYNASTY CLASSICS CORP" 3640
"E N I SPA" 2911
"E P MEDSYSTEMS INC" 3845
"E S S TECHNOLOGY INC" 3674
"E X X INC" 3621
"EAGLE GEOPHYSICAL INC" 1382
"EASTMAN CHEMICAL CO" 2821
"ECHELON CORP" 3576
"ECHOSTAR COMMUNICATIONS CORP NEW" 4841
"ECLIPSYS CORP" 7373
"ECOLLEGE COM INC" 7371
"EDAP T M S S A" 3845
"EDGAR ONLINE INC" 7370
"EDGE PETROLEUM CORP DEL" 1311
"EL PASO ELECTRIC CO" 4911
"ELECTRONIC DATA SYS CORP NEW" 7370
"ELEK TEK INC" 5734
"ELTEK LTD" 3672
"EMCOR GROUP INC" 1731
"EMCORE CORP" 3559
"EMERITUS CORP" 8300
"EMMIS BROADCASTING CORP" 4832
"EMPRESA NACIONAL DE ELECT CHILE" 4911
"ENAMELON INC" 2844
"ENCORE WIRE CORP" 3350
"ENDOCARE INC" 3841
"ENERSIS S A" 4911
"ENTERCOM COMMUNICATIONS CORP" 4832
"ENTERPRISE PRODUCTS PARTNERS LP" 1311
"ENTREMED INC" 2834
"ENTRUST TECHNOLOGIES INC" 7372
"ERNST HOME CENTER INC" 5200
"ESQUIRE COMMUNICATIONS LTD" 7330
"ETHAN ALLEN INTERIORS INC" 2511
"EURONET SERVICES INC" 6099
"EVOLVING SYSTEMS INC" 7371
"EXACTECH INC" 3842
"EXCEL TECHNOLOGY INC" 3690
"EXCELSIOR HENDERSON MTRCYCL MFG" 3751
"EXPRESS SCRIPTS INC" 6411
"EZCORP INC" 5900
"F & C INTERNATIONAL INC" 2860
"F & M DISTRIBUTORS INC" 5331
"F 5 NETWORKS INC" 7373
"F E I COMPANY" 3826
"F P A MEDICAL MANAGEMENT INC" 8011
"FACTSET RESEARCH SYSTEMS INC" 7370
"FAMOUS DAVES OF AMERICA" 5812
"FARO TECHNOLOGIES INC" 3829
"FEDERATED INVESTORS INC PA" 6282
"FILENES BASEMENT CORP" 5651
"FINE HOST CORP" 5812
"FINISH LINE INC" 5661
"FINLAY ENTERPRISES INC" 5944
"FIRST AVIATION SERVICE INC" 5080
"FIRST CASH INC" 5900
"FIRST CONSULTING GROUP INC" 7373
"FIRST PACIFIC NETWORKS INC" 3661
"FIRSTSERVICE CORP" 6531
"FLAMEL TECHNOLOGIES SA" 2834
"FLANDERS CORP" 3564
"FLEXTRONICS INTERNATIONAL LTD" 3672
"FLIR SYSTEMS INC" 3812
"FLORIDA WEST AIRLINES INC" 4522
"FOCUS ENHANCEMENTS INC" 3576
"FORMULAB NEURONETICS CORP LTD" 8711
"FORRESTER RESEARCH INC" 8700
"FRANCE TELECOM" 4813
"FRANKLIN OPHTHALMIC INSTRMTS INC" 5040
"FREDS INC" 5331
"FREEPORT MCMORAN COPPER & GOLD" 1000
"FRESH DEL MONTE PRODUCE INC" 100
"FRIENDLY ICE CREAM CORP" 5812
"FUEL TECH N V" 3569
"FULL HOUSE RESORTS INC" 7990
"G S E SYSTEMS INC" 7372
"G WILLI FOOD INTL LTD" 5140
"GADZOOKS INC" 5651
"GAIAM INC" 5961
"GALAGEN INC" 2836
"GAMETECH INTERNATIONAL INC" 3944
"GAMETEK INC" 7372
"GARDNER DENVER MACHINERY INC" 3560
"GARTNER GROUP INC NEW" 8700
"GATEWAY DATA SCIENCES CORP" 7373
"GAYLORD COMPANIES INC" 5940
"GAYLORD ENTERTAINMENT CO NEW" 7011
"GENE LOGIC INC" 2835
"GENENTECH INC" 2834
"GENERAL BEARING CORP" 3562
"GENERAL CABLE CORP DEL NEW" 3350
"GENERAL MAGIC INC" 7372
"GENESEE & WYOMING INC" 4011
"GENESIS ENERGY L P" 5172
"GERON CORP" 2836
"GILDAN ACTIVEWEAR INC" 2300
"GILEAD SCIENCES INC" 2836
"GILMAN & CIOCIA INC" 6211
"GLACIER WATER SERVICES INC" 5960
"GLOBAL INDUSTRIES LTD" 1389
"GLOBAL MED TECHNOLOGIES INC" 7372
"GLOBECOMM SYSTEMS INC" 3663
"GOLDEN STAR RESOURCES LTD" 1040
"GOLDEN TELECOM INC" 4813
"GOLF TRAINING SYSTEMS INC" 3949
"GOTHAM APPAREL CORP" 2330
"GRACE W R & CO DEL NEW" 2810
"GRANITE CONSTRUCTION INC" 1600
"GRAPHON CORP" 7372
"GREAT TRAIN STORE CO" 5945
"GREEN MOUNTAIN COFFEE INC" 2090
"GREIF BROTHERS CORP" 2650
"GRIFFIN LAND AND NURSERIES INC" 100
"GROUP 1 AUTOMOTIVE INC" 5500
"GROUPE C G I INC" 7370
"GROUPE DANONE" 2000
"GRUPO CASA AUTREY SA DE CV" 5122
"GUESS INC" 2330
"GUITAR CENTER INC" 5700
"GULF ISLAND FABRICATION INC" 3533
"GULFMARK OFFSHORE INC" 4412
"GYMBOREE CORP" 2300
"HAEMONETICS CORP MASS" 3841
"HAMBURGER HAMLET RESTAURANTS INC" 5812
"HANOVER COMPRESSOR CO" 7359
"HAPPINESS EXPRESS INC" 3944
"HARDINGE INC" 3541
"HARMONIC LIGHTWAVES INC" 3663
"HARMONY GOLD MINING CO LTD" 1040
"HARRIS INTERACTIVE INC" 7370
"HARTE HANKS COMMS INC NEW" 7331
"HAUPPAGUE DIGITAL INC" 3577
"HAWK CORP" 3490
"HAYES CORP" 3661
"HEALTH FITNESS PHYSIC THERAPY IN" 7990
"HEALTH MANAGEMENT ASSOCIATES INC" 8062
"HEALTH RISK MANAGEMENT INC" 6411
"HEALTHCOR HOLDINGS INC" 7350
"HEALTHEXTRAS INC" 6411
"HEALTHTEK INC" 3841
"HEALTHTRONICS INC" 8093
"HEARST ARGYLE TELEVISION INC" 4833
"HEIDRICK & STRUGGLES INTL INC" 7361
"HEMAGEN DIAGNOSTICS INC" 2835
"HEMISPHERX BIOPHARMA INC" 2836
"HENLEY HEALTHCARE INC" 3845
"HESKA CORP" 2835
"HI FN INC" 3674
"HICKORY TECH CORP" 4813
"HIRSCH INTERNATIONAL CORP" 5084
"HOLOGIC INC" 3844
"HOST AMERICA CORP" 2090
"HOT TOPIC INC" 5600
"HOUSTON EXPLORATION CO" 1311
"HUANENG POWER INTERNATIONAL INC" 4911
"HUB GROUP INC" 4731
"HUDSON TECHNOLOGIES INC" 4955
"HUMAN GENOME SCIENCES INC" 2835
"HUNGARIAN TELEPHONE & CABLE CORP" 4899
"HUTTIG BUILDING PRODUCTS INC" 5031
"HYPERCOM CORP" 3578
"HYPERTENSION DIAGNOSTICS INC" 3845
"I C ISAACS AND CO INC" 2320
"I C T GROUP INC" 7389
"I C U MEDICAL INC" 3841
"I D E X X LABORATORIES INC" 2835
"I D SYSTEMS INC" 3812
"I E C ELECTRONICS CORP NEW" 3672
"I H O P CORP" 6794
"I P I INC" 6794
"I R G TECHS INC" 5045
"I T T EDUCATIONAL SERVICES INC" 8200
"IBIS TECHNOLOGY CORP" 3559
"ICON PLC" 8731
"IMAGE SENSING SYSTEMS INC" 6794
"IMATION CORP" 3695
"IMCLONE SYSTEMS INC" 2836
"IMMERSION CORP" 3577
"IMPERIAL TOBACCO GROUP PLC" 2111
"IMPLANT SCIENCES CORP" 3559
"IN STORE ADVERTISING INC" 7310
"INCYTE PHARMACEUTICALS INC" 7370
"INDUSTRIAL DISTRIBUTION GRP INC" 5080
"INDUSTRIAL SERVICES OF AM INC" 8742
"INFORMATICA CORP" 7372
"INFORMATION ANALYSIS INC" 7371
"INFORMATION MANAGEMENT ASSC INC" 7372
"INGRAM MICRO INC" 5045
"INNOTRAC CORP" 7374
"INSIGNIA SYSTEMS INC" 5110
"INSITE VISION INC" 2834
"INTEGRAL SYSTEMS INC" 7373
"INTEGRATED MEDICAL RESOURCES INC" 8000
"INTEGRATED SECURITY SYSTEMS INC" 3669
"INTELLI CHECK INC" 3579
"INTELLIGENT MEDICAL IMAGING INC" 3826
"INTELLIGROUP INC" 7373
"INTERACTIVE INTELLIGENCE INC" 7372
"INTEREP NATIONAL RADIO SALES INC" 7310
"INTERNATIONAL ISOTOPES INC" 2835
"INTERNATIONAL SPEEDWAY CORP" 7948
"INTERNET AMERICA INC" 7370
"INTERNET INITIATIVE JAPAN INC" 7370
"INTERTAPE POLYMER GROUP INC" 2670
"INTEST CORP" 3825
"INTEVAC INC" 3559
"INTUIT INC" 7372
"INVITROGEN CORP" 2836
"IOMED INC" 3845
"IONA TECHNOLOGIES PLC" 7372
"IPSCO INC" 3312
"IRIDEX CORP" 3845
"ISIS PHARMACEUTICALS INC" 2834
"ITALIAN OVEN INC" 5812
"ITEX CORP" 7389
"ITRON INC" 3663
"J D A SOFTWARE GROUP INC" 7372
"JABIL CIRCUIT INC" 3672
"JACADA LTD" 7372
"JAKKS PACIFIC INC" 3942
"JEWETT CAMERON TRADING LTD" 5031
"JINPAN INTERNATIONAL LTD" 3612
"JONES APPAREL GROUP INC" 2330
"JOS A BANK CLOTHIERS INC" 2300
"JOURNAL REGISTER CO" 2711
"JUNIPER NETWORKS INC" 3576
"JUST FOR FEET INC" 5661
"K SWISS INC" 3140
"K V H INDUSTRIES INC" 3812
"KEMET CORP" 3670
"KENDALL SQUARE RESEARCH CORP" 3571
"KENDLE INTERNATIONAL INC" 8731
"KENSEY NASH CORP" 3842
"KEY TECHNOLOGY INC" 3550
"KEYNOTE SYSTEMS INC" 7371
"KEYSTONE AUTOMOTIVE INDS INC" 5013
"KING PHARMACEUTICALS INC" 2834
"KMG B INC" 2860
"KNIGHT TRANSPORTATION INC" 4213
"KNOT INC" 7370
"KOHLS CORP" 5311
"KORN FERRY INTERNATIONAL" 7361
"KRONOS INC" 7372
"L 3 COMMUNICATIONS HLDGS INC" 3663
"L C C INTERNATIONAL INC" 8711
"L M I AEROSPACE INC" 3728
"LABOR READY INC" 7363
"LACROSSE FOOTWEAR INC" 3021
"LADISH INC" 3724
"LAKES GAMING INC" 7990
"LAMAR ADVERTISING CO" 7310
"LANDSTAR SYSTEM INC" 4213
"LANOPTICS LTD" 3576
"LASER STORM INC" 3944
"LAUDER ESTEE COS INC" 2844
"LAYNE INC" 8711
"LECROY CORP" 3825
"LENNOX INTERNATIONAL INC" 3585
"LETS TALK CELLULAR AND WIRLS INC" 5990
"LEVEL 3 COMMUNICATIONS INC" 7373
"LEXMARK INTERNATIONAL GROUP INC" 3577
"LIBBEY INC" 3220
"LIFECELL CORP" 3842
"LIFEPOINT HOSPITALS INC" 8062
"LIHIR GOLD LTD" 1040
"LINCARE HOLDINGS INC" 8090
"LIONBRIDGE TECHNOLOGIES" 7372
"LIQUIDATION WORLD INC" 5399
"LITHIA MOTORS INC" 5500
"LITTELFUSE INC" 3613
"LODGENET ENTERTAINMENT CORP" 4899
"LUFKIN INDUSTRIES INC" 3533
"LUXOTTICA GROUP S P A" 3851
"M E M C ELECTRONIC MATERIALS INC" 3674
"M E R TELEMANAGEMENT SOLTNS LTD" 3661
"M K S INSTRUMENTS INC" 3823
"M R S TECHNOLOGY INC" 3559
"M R V COMMUNICATIONS INC" 3576
"M S C INDUSTRIAL DIRECT INC" 5084
"MAC GRAY CORP" 7200
"MACROVISION CORPORATION" 6794
"MADDEN STEVEN LTD" 3140
"MANHATTAN ASSOCIATES INC" 7373
"MANNATECH INC" 2834
"MARINE MANAGEMENT SYSTEMS INC" 7373
"MARINEMAX INC" 5500
"MARKWEST HYDROCARBON INC" 1311
"MARRIOTT INTERNATIONAL INC NEW" 7011
"MARTEK BIOSCIENCES CORP" 2833
"MARTHA STEWART LVNG OMNIMEDIA IN" 2721
"MARTIN COLOR FI INC" 2820
"MARTIN INDUSTRIES INC" 3433
"MARTIN MARIETTA MATERIALS INC" 1400
"MATRITECH INC" 2835
"MATTHEWS INTERNATIONAL CORP" 3360
"MATTSON TECHNOLOGY INC" 3559
"MAXIMUS INC" 8741
"MAXYGEN INC" 8731
"MEADOW VALLEY CORP" 1600
"MEDAREX INC" 2836
"MEDIALINK WORLDWIDE INC" 7380
"MEDICALOGIC INC" 9995
"MEDIMMUNE INC" 2836
"MEDIWARE INFORMATION SYS INC" 7373
"MEDWAVE INC" 3841
"MEGAFOODS STORES INC" 5411
"MENLEY & JAMES INC" 2834
"MENS WEARHOUSE INC" 5600
"MERCURY COMPUTER SYSTEMS" 7373
"MERGE TECHNOLOGIES INC" 7373
"MERIT MEDICAL SYSTEMS INC" 3841
"METALINK LTD" 3674
"METALLICA RESOURCES INC" 1040
"METATEC CORP" 3652
"METHANEX CORP" 2860
"METROPOLITAN HEALTH NETWORKS INC" 8011
"METROTRANS CORP" 3713
"METTLER TOLEDO INTERNATIONAL INC" 3826
"MICREL INC" 3674
"MICRO COMPONENT TECH INC" 3825
"MICROCHIP TECHNOLOGY INC" 3674
"MICROFIELD GRAPHICS INC" 3640
"MICROLEAGUE MULTIMEDIA INC" 7372
"MICROVISION INC WA" 8731
"MID AMERICAN WASTE SYSTEMS INC" 4953
"MIDAS INC" 7500
"MIDCOM COMMUNICATIONS INC" 4813
"MIDWEST EXPRESS HOLDINGS INC" 4512
"MILLENNIUM PHARMACEUTICALS INC" 2835
"MINERALS TECHNOLOGIES INC" 2810
"MIRAMAR MINING CORP" 1040
"MITCHAM INDUSTRIES INC" 7359
"MOBILEMEDIA CORP" 4812
"MOBIUS MANAGEMENT SYSTEMS INC" 7372
"MODATECH SYSTEMS INC" 7372
"MODEL IMPERIAL INC" 5122
"MOHAWK INDUSTRIES INC" 2273
"MONACO COACH CORP" 3711
"MONARCH CASINO & RESORT INC" 7990
"MONOCLONAL MEDICAL INC" 2835
"MONTEREY PASTA CO" 2090
"MOTHERS WORK INC" 5621
"MOVIE GALLERY INC" 7841
"MUELLER INDUSTRIES INC" 3350
"MULTIMEDIA GAMES INC" 7990
"MUSE TECHNOLOGIES INC" 7372
"MYRIAD GENETICS INC" 2835
"N C I BUILDING SYSTEMS INC" 3448
"N C R CORP NEW" 3578
"N D S GROUP PLC" 3663
"N P S PHARMACEUTICALS INC" 2836
"N T N COMMUNICATIONS INC" 4833
"N U C O 2 INC" 5160
"NANOGEN INC" 8731
"NANOPHASE TECHNOLOGIES CORP" 3290
"NASTECH PHARMACEUTICAL INC" 2834
"NATIONAL DATACOMPUTER INC" 3571
"NATIONAL DENTEX CORP" 8000
